file_path,filename,project,doc_type,ext,created_at,folder_type
test_workspace\-최종(2).jpg,-최종(2).jpg,사내 업무 효율화 TF,기획안,.jpg,2024-12-04 13:24:41,root
test_workspace\외부고객\수정본.xlsx,수정본.xlsx,외부고객,디자인시안,.xlsx,2025-07-02 00:16:41,project_folder
test_workspace\folder_9156_Q\-최종(최종).pptx,-최종(최종).pptx,협력사,개선안,.pptx,2025-05-12 04:40:41,random_folder
test_workspace\folder_4555_G\-최종본(1).docx,-최종본(1).docx,내부지원,계약,.docx,2024-12-22 10:25:41,random_folder
test_workspace\사내_업무_효율화_TF\v3x5y.pdf,v3x5y.pdf,사내 업무 효율화 TF,발표자료,.pdf,2024-09-20 19:19:41,project_folder
test_workspace\folder_9952_J\회의.pdf,회의.pdf,2025 3분기 마케팅 캠페인,발표자료,.pdf,2025-07-03 03:30:41,random_folder
test_workspace\지원요청.txt,지원요청.txt,외부고객,계약,.txt,2025-01-11 19:05:41,root
test_workspace\folder_3530_]\-최종(2)kp@#.pdf,-최종(2)kp@#.pdf,2025 3분기 마케팅 캠페인,디자인시안,.pdf,2025-03-06 03:34:41,random_folder
test_workspace\고객문의.jpg,고객문의.jpg,내부지원,캠페인제안서,.jpg,2025-01-01 21:24:41,root
test_workspace\고객문의@#.docx,고객문의@#.docx,신제품 '퀀텀' 출시,디자인시안,.docx,2025-02-22 19:26:41,root
test_workspace\사내_업무_효율화_TF\-verlz8.xlsx,-verlz8.xlsx,사내 업무 효율화 TF,광고시안,.xlsx,2025-05-12 00:39:41,project_folder
test_workspace\고객문의.pdf,고객문의.pdf,외부고객,예산안,.pdf,2025-03-10 11:09:41,root
test_workspace\folder_2228_^\피드백xl.xlsx,피드백xl.xlsx,협력사,고객문의,.xlsx,2025-02-19 15:34:41,random_folder
test_workspace\folder_7956_W\draftz1kv.docx,draftz1kv.docx,외부고객,피드백,.docx,2024-10-17 23:14:41,random_folder
test_workspace\folder_3455_\-최종(2).pptx,-최종(2).pptx,협력사,고객문의,.pptx,2025-05-01 07:09:41,random_folder
test_workspace\외부고객\-최종(2).xlsx,-최종(2).xlsx,외부고객,개발일정,.xlsx,2024-10-08 00:28:41,project_folder
test_workspace\folder_4546_U\(최종)_26.docx,(최종)_26.docx,협력사,요구사항정의서,.docx,2024-10-22 23:07:41,random_folder
test_workspace\folder_6063_N\v18s.png,v18s.png,신제품 '퀀텀' 출시,발표자료,.png,2025-03-17 06:27:41,random_folder
test_workspace\신제품_퀀텀_출시\QnA8bc.txt,QnA8bc.txt,신제품 '퀀텀' 출시,설문결과,.txt,2025-02-20 01:41:41,project_folder
test_workspace\folder_2614_K\-최종본(2).pptx,-최종본(2).pptx,2025 3분기 마케팅 캠페인,기획안,.pptx,2025-06-09 18:02:41,random_folder
test_workspace\folder_6933_X\-최종(2)pqp_87.docx,-최종(2)pqp_87.docx,기타,피드백,.docx,2025-01-12 23:05:41,random_folder
test_workspace\folder_6611_E\고객문의.txt,고객문의.txt,사내 업무 효율화 TF,견적,.txt,2024-10-02 22:51:41,random_folder
test_workspace\folder_9941_A\-최종(2)1q0xp.docx,-최종(2)1q0xp.docx,협력사,이슈,.docx,2024-09-07 03:53:41,random_folder
test_workspace\사내_업무_효율화_TF\첨부.pdf,첨부.pdf,사내 업무 효율화 TF,견적,.pdf,2024-08-24 05:22:41,project_folder
test_workspace\참고gmz.pptx,참고gmz.pptx,내부지원,기획안,.pptx,2025-07-19 21:36:41,root
test_workspace\DRAFT_72.jpg,DRAFT_72.jpg,협력사,결과보고서,.jpg,2024-11-27 23:01:41,root
test_workspace\folder_9156_Q\-최종(최종)@#.png,-최종(최종)@#.png,내부지원,예산안,.png,2025-04-21 22:08:41,random_folder
test_workspace\-최종(최종).jpg,-최종(최종).jpg,외부고객,이슈,.jpg,2025-03-24 13:54:41,root
test_workspace\(최종).pptx,(최종).pptx,신제품 '퀀텀' 출시,광고시안,.pptx,2024-11-26 00:39:41,root
test_workspace\계약u84ck_57.txt,계약u84ck_57.txt,내부지원,고객문의,.txt,2024-12-21 22:24:41,root
test_workspace\folder_3530_]\-최종본(최종).txt,-최종본(최종).txt,기타,캠페인제안서,.txt,2025-01-06 01:40:41,random_folder
test_workspace\2025_3분기_마케팅_캠페인\-최종본(최종).xlsx,-최종본(최종).xlsx,2025 3분기 마케팅 캠페인,기획안,.xlsx,2025-03-14 20:03:41,project_folder
test_workspace\folder_9156_Q\v3f4c.xlsx,v3f4c.xlsx,외부고객,요구사항정의서,.xlsx,2025-04-16 10:47:41,random_folder
test_workspace\기타\ver2nsm.png,ver2nsm.png,기타,결과보고서,.png,2025-02-04 04:52:41,project_folder
test_workspace\folder_2228_^\고객문의.xlsx,고객문의.xlsx,2025 3분기 마케팅 캠페인,캠페인제안서,.xlsx,2024-10-19 06:32:41,random_folder
test_workspace\첨부.pptx,첨부.pptx,사내 업무 효율화 TF,피드백,.pptx,2024-10-21 16:06:41,root
test_workspace\-사본.jpg,-사본.jpg,기타,견적,.jpg,2025-01-29 13:18:41,root
test_workspace\folder_6933_X\-최종본(1).pptx,-최종본(1).pptx,내부지원,이슈,.pptx,2024-09-18 21:10:41,random_folder
test_workspace\folder_5266_H\-최종수정.png,-최종수정.png,2025 3분기 마케팅 캠페인,이슈,.png,2024-11-08 16:36:41,random_folder
test_workspace\(최종)_46.pdf,(최종)_46.pdf,협력사,이슈,.pdf,2025-08-08 09:51:41,root
test_workspace\folder_9952_J\(최종)ck0@#.docx,(최종)ck0@#.docx,사내 업무 효율화 TF,개선안,.docx,2025-04-11 06:58:41,random_folder
test_workspace\_복사본@#.xlsx,_복사본@#.xlsx,신제품 '퀀텀' 출시,QnA,.xlsx,2024-11-18 12:08:41,root
test_workspace\folder_4493_I\-최종(최종)AI.png,-최종(최종)AI.png,사내 업무 효율화 TF,지원요청,.png,2025-03-28 13:25:41,random_folder
test_workspace\folder_2614_K\-사본.docx,-사본.docx,신제품 '퀀텀' 출시,설문결과,.docx,2024-09-14 13:39:41,random_folder
test_workspace\-최종.pptx,-최종.pptx,신제품 '퀀텀' 출시,계약,.pptx,2025-04-27 10:06:41,root
test_workspace\기타\수정본.xlsx,수정본.xlsx,기타,이슈,.xlsx,2025-01-07 03:32:41,project_folder
test_workspace\_LAST.jpg,_LAST.jpg,내부지원,설문결과,.jpg,2024-11-28 02:57:41,root
test_workspace\folder_5179_F\final.txt,final.txt,2025 3분기 마케팅 캠페인,설문결과,.txt,2025-08-03 02:33:41,random_folder
test_workspace\folder_4493_I\참고@#.jpg,참고@#.jpg,내부지원,개선안,.jpg,2024-11-09 15:44:41,random_folder
test_workspace\folder_4546_U\(최종).png,(최종).png,내부지원,QnA,.png,2025-02-18 15:41:41,random_folder
test_workspace\folder_5723_C\v3wy.jpg,v3wy.jpg,외부고객,디자인시안,.jpg,2024-11-21 23:22:41,random_folder
test_workspace\folder_3455_\(1).jpg,(1).jpg,기타,결과보고서,.jpg,2025-03-28 02:28:41,random_folder
test_workspace\최종본.pptx,최종본.pptx,외부고객,요구사항정의서,.pptx,2025-04-15 16:04:41,root
test_workspace\수정본@#.jpg,수정본@#.jpg,기타,견적,.jpg,2024-08-18 07:29:41,root
test_workspace\참고MSZ_22.txt,참고MSZ_22.txt,2025 3분기 마케팅 캠페인,설문결과,.txt,2024-10-22 06:23:41,root
test_workspace\folder_9952_J\이슈2k1f3m.xlsx,이슈2k1f3m.xlsx,2025 3분기 마케팅 캠페인,광고시안,.xlsx,2025-07-20 06:09:41,random_folder
test_workspace\-최종수정bs6w.xlsx,-최종수정bs6w.xlsx,외부고객,지원요청,.xlsx,2025-01-27 08:51:41,root
test_workspace\folder_7492_B\-최종본(최종).png,-최종본(최종).png,신제품 '퀀텀' 출시,지원요청,.png,2025-01-16 16:36:41,random_folder
test_workspace\기타\자료_8.txt,자료_8.txt,기타,기획안,.txt,2025-07-15 08:07:41,project_folder
test_workspace\folder_6933_X\이슈@#.xlsx,이슈@#.xlsx,외부고객,견적,.xlsx,2025-04-14 10:44:41,random_folder
test_workspace\folder_2999_D\-최종본(2).docx,-최종본(2).docx,신제품 '퀀텀' 출시,요구사항정의서,.docx,2025-07-20 06:35:41,random_folder
test_workspace\-최종본(최종)@#_90.txt,-최종본(최종)@#_90.txt,협력사,회의록,.txt,2024-11-14 09:20:41,root
test_workspace\이슈y1j0k_50.docx,이슈y1j0k_50.docx,2025 3분기 마케팅 캠페인,고객문의,.docx,2025-07-10 21:24:41,root
test_workspace\folder_3530_]\draft_66.png,draft_66.png,외부고객,회의록,.png,2025-04-20 12:19:41,random_folder
test_workspace\VER2.jpg,VER2.jpg,협력사,피드백,.jpg,2025-06-21 06:45:41,root
test_workspace\folder_1249_V\-최종(최종)grcvd.jpg,-최종(최종)grcvd.jpg,내부지원,설문결과,.jpg,2024-10-31 17:38:41,random_folder
test_workspace\피드백.xlsx,피드백.xlsx,신제품 '퀀텀' 출시,계약,.xlsx,2024-09-10 02:10:41,root
test_workspace\_edit.docx,_edit.docx,내부지원,QnA,.docx,2024-11-24 08:34:41,root
test_workspace\내부지원\-최종본(2)o4o_28.docx,-최종본(2)o4o_28.docx,내부지원,기획안,.docx,2025-07-25 12:35:41,project_folder
test_workspace\기타\최종본g9f.jpg,최종본g9f.jpg,기타,기획안,.jpg,2024-10-16 04:45:41,project_folder
test_workspace\folder_7026_Z\계약7bn@#.pdf,계약7bn@#.pdf,사내 업무 효율화 TF,피드백,.pdf,2024-10-26 23:36:41,random_folder
test_workspace\-최종본(1)@#.xlsx,-최종본(1)@#.xlsx,기타,캠페인제안서,.xlsx,2025-06-24 15:20:41,root
test_workspace\folder_9941_A\피드백.xlsx,피드백.xlsx,내부지원,결과보고서,.xlsx,2025-05-24 19:40:41,random_folder
test_workspace\-최종본(1).docx,-최종본(1).docx,사내 업무 효율화 TF,결과보고서,.docx,2025-03-18 01:09:41,root
test_workspace\folder_4967_L\-최종본(최종).xlsx,-최종본(최종).xlsx,기타,개발일정,.xlsx,2024-10-08 15:21:41,random_folder
test_workspace\folder_4493_I\ver2.png,ver2.png,신제품 '퀀텀' 출시,광고시안,.png,2025-02-10 08:12:41,random_folder
test_workspace\folder_7026_Z\-최종본(1).png,-최종본(1).png,사내 업무 효율화 TF,설문결과,.png,2025-04-14 22:36:41,random_folder
test_workspace\folder_5723_C\(최종).docx,(최종).docx,협력사,결과보고서,.docx,2025-07-02 12:41:41,random_folder
test_workspace\folder_9407_P\지원요청.xlsx,지원요청.xlsx,2025 3분기 마케팅 캠페인,피드백,.xlsx,2025-02-04 06:41:41,random_folder
test_workspace\folder_5723_C\(1).xlsx,(1).xlsx,외부고객,디자인시안,.xlsx,2025-06-23 18:56:41,random_folder
test_workspace\-최종(최종).jpg,-최종(최종).jpg,2025 3분기 마케팅 캠페인,디자인시안,.jpg,2025-06-17 00:28:41,root
test_workspace\folder_8983_[\-사본.xlsx,-사본.xlsx,사내 업무 효율화 TF,기획안,.xlsx,2024-11-09 20:38:41,random_folder
test_workspace\기타\-최종본.docx,-최종본.docx,기타,예산안,.docx,2025-06-10 03:34:41,project_folder
test_workspace\final.txt,final.txt,협력사,피드백,.txt,2025-03-26 08:49:41,root
test_workspace\folder_7492_B\고객문의.png,고객문의.png,2025 3분기 마케팅 캠페인,지원요청,.png,2025-06-06 21:04:41,random_folder
test_workspace\folder_2999_D\QnA.docx,QnA.docx,내부지원,이슈,.docx,2025-02-22 06:50:41,random_folder
test_workspace\_last1e.jpg,_last1e.jpg,기타,요구사항정의서,.jpg,2024-10-17 07:39:41,root
test_workspace\-최종본(2)cccrlh.jpg,-최종본(2)cccrlh.jpg,외부고객,피드백,.jpg,2025-07-20 15:36:41,root
test_workspace\내부지원\(1).jpg,(1).jpg,내부지원,디자인시안,.jpg,2024-11-26 17:57:41,project_folder
test_workspace\folder_2999_D\-최종@#.docx,-최종@#.docx,사내 업무 효율화 TF,캠페인제안서,.docx,2024-11-25 16:07:41,random_folder
test_workspace\final_98.png,final_98.png,신제품 '퀀텀' 출시,설문결과,.png,2025-06-02 22:20:41,root
test_workspace\folder_7956_W\ver2@#_98.xlsx,ver2@#_98.xlsx,외부고객,요구사항정의서,.xlsx,2025-06-17 18:10:41,random_folder
test_workspace\folder_2228_^\견적_98.png,견적_98.png,신제품 '퀀텀' 출시,광고시안,.png,2025-01-04 05:08:41,random_folder
test_workspace\folder_1478_S\결과o0xwq_52.xlsx,결과o0xwq_52.xlsx,2025 3분기 마케팅 캠페인,기획안,.xlsx,2025-05-11 06:04:41,random_folder
test_workspace\folder_9156_Q\(최종).docx,(최종).docx,내부지원,피드백,.docx,2024-08-24 08:52:41,random_folder
test_workspace\신제품_퀀텀_출시\수정본.docx,수정본.docx,신제품 '퀀텀' 출시,개선안,.docx,2025-04-10 06:21:41,project_folder
test_workspace\내부지원\-최종(2)we0h.pptx,-최종(2)we0h.pptx,내부지원,예산안,.pptx,2025-01-11 09:52:41,project_folder
test_workspace\folder_6561_Y\QNA.pptx,QNA.pptx,2025 3분기 마케팅 캠페인,캠페인제안서,.pptx,2024-09-01 00:41:41,random_folder
test_workspace\협력사\자료.png,자료.png,협력사,QnA,.png,2025-02-08 05:00:41,project_folder
test_workspace\folder_2228_^\고객문의_73.docx,고객문의_73.docx,기타,결과보고서,.docx,2024-09-03 12:20:41,random_folder
test_workspace\피드백d1a2.jpg,피드백d1a2.jpg,사내 업무 효율화 TF,결과보고서,.jpg,2025-01-27 21:47:41,root
test_workspace\folder_3025_M\QnA.xlsx,QnA.xlsx,외부고객,개발일정,.xlsx,2024-12-30 08:36:41,random_folder
test_workspace\folder_2228_^\고객문의.txt,고객문의.txt,사내 업무 효율화 TF,요구사항정의서,.txt,2025-03-21 18:13:41,random_folder
test_workspace\draft@#.docx,draft@#.docx,외부고객,고객문의,.docx,2025-04-29 04:33:41,root
test_workspace\folder_5723_C\-최종(1)@#.docx,-최종(1)@#.docx,기타,발표자료,.docx,2025-06-10 07:18:41,random_folder
test_workspace\2025_3분기_마케팅_캠페인\-사본.pptx,-사본.pptx,2025 3분기 마케팅 캠페인,고객문의,.pptx,2025-04-23 03:49:41,project_folder
test_workspace\folder_6933_X\-최종수정.pptx,-최종수정.pptx,외부고객,캠페인제안서,.pptx,2025-07-28 14:08:41,random_folder
test_workspace\folder_8983_[\계약.png,계약.png,2025 3분기 마케팅 캠페인,개선안,.png,2025-05-01 10:19:41,random_folder
test_workspace\draft.xlsx,draft.xlsx,외부고객,기획안,.xlsx,2025-02-19 19:19:41,root
test_workspace\folder_7026_Z\이슈.jpg,이슈.jpg,외부고객,캠페인제안서,.jpg,2024-11-17 16:19:41,random_folder
test_workspace\folder_7026_Z\이슈f8td.txt,이슈f8td.txt,협력사,예산안,.txt,2025-02-25 10:08:41,random_folder
test_workspace\QnAzi9de7@#.pptx,QnAzi9de7@#.pptx,내부지원,광고시안,.pptx,2024-11-28 10:54:41,root
test_workspace\결과.png,결과.png,내부지원,예산안,.png,2024-10-08 13:32:41,root
test_workspace\협력사\첨부.pdf,첨부.pdf,협력사,광고시안,.pdf,2024-08-30 14:08:41,project_folder
test_workspace\draft.jpg,draft.jpg,협력사,개발일정,.jpg,2025-02-14 20:36:41,root
test_workspace\draft.png,draft.png,협력사,견적,.png,2024-09-09 09:53:41,root
test_workspace\folder_7026_Z\v2@#_29.jpg,v2@#_29.jpg,사내 업무 효율화 TF,지원요청,.jpg,2025-04-01 21:41:41,random_folder
test_workspace\folder_4967_L\_last.png,_last.png,기타,발표자료,.png,2025-03-29 14:06:41,random_folder
test_workspace\folder_4555_G\피드백bcqjn.docx,피드백bcqjn.docx,외부고객,회의록,.docx,2025-06-03 00:28:41,random_folder
test_workspace\folder_9941_A\-최종(1).txt,-최종(1).txt,협력사,계약,.txt,2025-06-17 21:00:41,random_folder
test_workspace\folder_7026_Z\_edit.xlsx,_edit.xlsx,협력사,회의록,.xlsx,2024-11-20 20:01:41,random_folder
test_workspace\folder_3455_\-최종본(최종)ell3bs.xlsx,-최종본(최종)ell3bs.xlsx,기타,기획안,.xlsx,2025-01-18 05:13:41,random_folder
test_workspace\첨부e1i.docx,첨부e1i.docx,사내 업무 효율화 TF,피드백,.docx,2024-10-09 07:25:41,root
test_workspace\folder_6561_Y\_edit.xlsx,_edit.xlsx,2025 3분기 마케팅 캠페인,QnA,.xlsx,2025-01-05 03:34:41,random_folder
test_workspace\folder_7026_Z\QnAp7.txt,QnAp7.txt,내부지원,회의록,.txt,2025-03-03 10:12:41,random_folder
test_workspace\folder_9407_P\계약lmsfk.png,계약lmsfk.png,협력사,견적,.png,2025-05-02 09:20:41,random_folder
test_workspace\협력사\V3.docx,V3.docx,협력사,이슈,.docx,2025-03-20 12:47:41,project_folder
test_workspace\folder_3530_]\최종본_29.pdf,최종본_29.pdf,기타,이슈,.pdf,2025-05-03 06:22:41,random_folder
test_workspace\folder_5266_H\V2.txt,V2.txt,내부지원,캠페인제안서,.txt,2024-12-10 15:46:41,random_folder
test_workspace\folder_1478_S\v3.pptx,v3.pptx,2025 3분기 마케팅 캠페인,발표자료,.pptx,2024-12-22 06:49:41,random_folder
test_workspace\-최종본(1).pptx,-최종본(1).pptx,외부고객,기획안,.pptx,2025-05-30 22:55:41,root
test_workspace\folder_2228_^\피드백.jpg,피드백.jpg,외부고객,예산안,.jpg,2024-10-05 18:04:41,random_folder
test_workspace\folder_7956_W\-최종(최종)v9iyo_91.jpg,-최종(최종)v9iyo_91.jpg,외부고객,광고시안,.jpg,2025-06-24 12:19:41,random_folder
test_workspace\기타\-최종본(2).png,-최종본(2).png,기타,요구사항정의서,.png,2024-12-03 13:26:41,project_folder
test_workspace\folder_5179_F\draft2r2t95.pptx,draft2r2t95.pptx,사내 업무 효율화 TF,예산안,.pptx,2024-11-11 03:44:41,random_folder
test_workspace\계약.png,계약.png,외부고객,설문결과,.png,2024-11-25 18:14:41,root
test_workspace\folder_7026_Z\-최종본(1).pptx,-최종본(1).pptx,협력사,QnA,.pptx,2024-09-29 03:05:41,random_folder
test_workspace\FINAL.docx,FINAL.docx,2025 3분기 마케팅 캠페인,고객문의,.docx,2025-08-16 09:29:41,root
test_workspace\folder_5179_F\회의.png,회의.png,내부지원,기획안,.png,2024-12-05 16:11:41,random_folder
test_workspace\지원요청.xlsx,지원요청.xlsx,신제품 '퀀텀' 출시,광고시안,.xlsx,2024-12-04 11:23:41,root
test_workspace\내부지원\계약.pptx,계약.pptx,내부지원,결과보고서,.pptx,2025-03-16 15:45:41,project_folder
test_workspace\2025_3분기_마케팅_캠페인\견적5g19tw.pptx,견적5g19tw.pptx,2025 3분기 마케팅 캠페인,발표자료,.pptx,2024-12-13 07:48:41,project_folder
test_workspace\folder_5723_C\(1).jpg,(1).jpg,협력사,예산안,.jpg,2025-04-05 13:01:41,random_folder
test_workspace\folder_1249_V\-최종본(최종)bj7un.pdf,-최종본(최종)bj7un.pdf,신제품 '퀀텀' 출시,고객문의,.pdf,2025-05-12 01:25:41,random_folder
test_workspace\이슈.png,이슈.png,협력사,QnA,.png,2025-02-06 15:00:41,root
test_workspace\-최종수정.txt,-최종수정.txt,외부고객,예산안,.txt,2025-04-26 02:34:41,root
test_workspace\folder_6561_Y\v13ittb.pdf,v13ittb.pdf,기타,QnA,.pdf,2025-05-09 05:28:41,random_folder
test_workspace\첨부.docx,첨부.docx,기타,지원요청,.docx,2025-06-23 09:43:41,root
test_workspace\2025_3분기_마케팅_캠페인\-최종본(2).png,-최종본(2).png,2025 3분기 마케팅 캠페인,QnA,.png,2025-04-14 15:34:41,project_folder
test_workspace\-ver@#.png,-ver@#.png,기타,기획안,.png,2025-03-03 01:50:41,root
test_workspace\folder_4546_U\-최종41frc.jpg,-최종41frc.jpg,신제품 '퀀텀' 출시,피드백,.jpg,2025-05-11 16:57:41,random_folder
test_workspace\_edit.docx,_edit.docx,사내 업무 효율화 TF,기획안,.docx,2025-08-05 19:07:41,root
test_workspace\folder_9941_A\이슈.xlsx,이슈.xlsx,신제품 '퀀텀' 출시,계약,.xlsx,2025-06-01 23:21:41,random_folder
test_workspace\folder_4555_G\참고.docx,참고.docx,사내 업무 효율화 TF,발표자료,.docx,2025-04-19 15:14:41,random_folder
test_workspace\견적.png,견적.png,내부지원,QnA,.png,2025-03-25 14:10:41,root
test_workspace\folder_3455_\고객문의.xlsx,고객문의.xlsx,2025 3분기 마케팅 캠페인,캠페인제안서,.xlsx,2025-04-04 01:05:41,random_folder
test_workspace\final.xlsx,final.xlsx,외부고객,예산안,.xlsx,2024-08-31 07:24:41,root
test_workspace\2025_3분기_마케팅_캠페인\지원요청.xlsx,지원요청.xlsx,2025 3분기 마케팅 캠페인,회의록,.xlsx,2025-02-18 00:06:41,project_folder
test_workspace\folder_9952_J\첨부.pptx,첨부.pptx,신제품 '퀀텀' 출시,지원요청,.pptx,2024-10-19 04:54:41,random_folder
test_workspace\사내_업무_효율화_TF\_복사본ve@#.pptx,_복사본ve@#.pptx,사내 업무 효율화 TF,개발일정,.pptx,2025-03-14 02:09:41,project_folder
